index,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
83,28,services,married,secondary,0,4,yes,0,unknown,2,9,1,-1,0,unknown,0
84,26,entrepreneur,married,tertiary,0,38,yes,0,cellular,12,5,1,294,5,failure,0
85,44,admin.,married,secondary,0,10354,no,0,telephone,4,5,1,-1,0,unknown,0
86,31,management,single,tertiary,0,587,yes,0,cellular,20,4,4,-1,0,unknown,0
87,25,management,single,tertiary,0,289,no,0,cellular,5,6,1,-1,0,unknown,0
88,32,admin.,married,tertiary,0,390,yes,1,cellular,5,5,1,243,1,other,0
89,37,technician,divorced,tertiary,0,1762,yes,0,cellular,16,4,1,317,1,failure,0
90,45,technician,divorced,secondary,0,88,yes,0,cellular,22,8,3,-1,0,unknown,0
91,44,admin.,married,secondary,0,1362,yes,0,unknown,13,5,1,-1,0,unknown,0
92,49,services,married,secondary,0,388,no,0,telephone,31,7,4,-1,0,unknown,1
93,53,technician,married,secondary,0,1738,no,1,cellular,21,11,2,-1,0,unknown,0
94,61,management,married,tertiary,0,2931,no,0,cellular,6,10,1,-1,0,unknown,0
95,44,blue-collar,married,primary,0,6,no,0,cellular,10,7,9,-1,0,unknown,0
96,52,blue-collar,married,secondary,0,2276,no,0,unknown,20,6,3,-1,0,unknown,0
97,42,management,divorced,tertiary,0,0,no,0,unknown,6,6,1,-1,0,unknown,0
98,30,management,married,tertiary,0,10884,no,0,cellular,4,5,2,-1,0,unknown,1
99,57,entrepreneur,married,secondary,1,-525,no,1,cellular,25,7,1,-1,0,unknown,0
100,39,blue-collar,married,primary,0,2133,yes,1,unknown,16,5,1,-1,0,unknown,0
101,49,technician,married,unknown,0,1355,yes,0,unknown,18,6,3,-1,0,unknown,0
102,57,technician,married,secondary,0,2550,no,0,cellular,29,1,2,-1,0,unknown,0
103,39,blue-collar,married,secondary,0,1307,yes,0,telephone,31,10,1,-1,0,unknown,1
104,47,admin.,married,secondary,0,520,no,0,telephone,9,2,6,-1,0,unknown,0
105,42,services,divorced,secondary,0,108,no,0,cellular,25,7,13,-1,0,unknown,0
106,44,blue-collar,married,secondary,0,837,yes,0,cellular,6,2,1,-1,0,unknown,0
107,36,entrepreneur,single,secondary,0,475,no,0,cellular,25,7,3,-1,0,unknown,0
108,54,management,married,tertiary,0,3795,yes,1,cellular,21,7,1,-1,0,unknown,0
109,29,management,single,tertiary,0,1026,no,0,cellular,12,2,2,92,2,success,1
110,35,admin.,married,secondary,0,1254,yes,1,cellular,1,7,2,-1,0,unknown,0
111,52,technician,married,secondary,0,470,no,0,cellular,27,8,8,-1,0,unknown,0
112,28,unemployed,single,secondary,0,538,no,0,cellular,4,6,3,-1,0,unknown,0
113,31,blue-collar,married,primary,0,251,yes,0,unknown,7,5,2,-1,0,unknown,0
114,29,admin.,single,secondary,0,27,yes,0,cellular,6,5,1,-1,0,unknown,1
115,55,self-employed,married,secondary,0,2408,no,0,telephone,9,4,2,140,1,failure,0
116,33,technician,single,tertiary,0,390,yes,0,cellular,3,2,1,256,1,failure,0
117,34,services,married,secondary,0,-68,yes,0,unknown,9,5,1,-1,0,unknown,0
118,50,admin.,divorced,secondary,0,-458,yes,0,cellular,11,5,2,-1,0,unknown,0
119,51,blue-collar,married,primary,0,581,yes,0,cellular,11,5,1,-1,0,unknown,0
120,53,retired,married,secondary,0,1278,yes,0,telephone,15,7,3,-1,0,unknown,0
121,37,technician,married,secondary,1,-3,no,0,cellular,29,8,4,-1,0,unknown,0
122,32,admin.,single,secondary,0,64,yes,0,cellular,21,7,3,-1,0,unknown,0
123,52,self-employed,married,tertiary,0,4012,no,0,cellular,31,8,3,92,5,other,1
124,40,admin.,married,tertiary,0,0,yes,0,unknown,20,5,2,-1,0,unknown,0
125,33,management,married,tertiary,0,1522,yes,0,cellular,18,11,2,179,3,failure,0
126,45,retired,married,primary,0,0,no,0,unknown,3,6,1,-1,0,unknown,0
127,48,technician,married,secondary,0,1449,yes,1,cellular,28,1,1,-1,0,unknown,0
128,38,management,single,tertiary,0,1495,yes,0,cellular,30,1,2,-1,0,unknown,0
129,33,management,married,tertiary,0,130,no,0,cellular,25,8,8,-1,0,unknown,0
130,46,retired,married,primary,0,0,no,0,unknown,19,5,2,-1,0,unknown,0
131,78,retired,married,primary,0,301,no,0,cellular,7,9,2,-1,0,unknown,0
132,42,management,married,secondary,0,2416,yes,0,unknown,20,5,4,-1,0,unknown,0
133,30,technician,married,secondary,0,33,yes,0,cellular,18,5,2,-1,0,unknown,0
134,45,blue-collar,married,primary,0,0,yes,1,cellular,12,5,3,172,5,failure,0
135,51,unemployed,single,tertiary,0,1594,no,0,telephone,4,2,1,-1,0,unknown,0
136,29,blue-collar,married,secondary,0,64,yes,0,cellular,14,5,2,366,3,failure,0
137,25,management,married,tertiary,0,103,no,0,cellular,10,2,9,-1,0,unknown,0
138,41,technician,single,secondary,0,-618,yes,1,cellular,11,7,1,-1,0,unknown,0
139,60,retired,married,tertiary,0,9397,no,0,unknown,5,6,1,-1,0,unknown,0
140,57,management,married,tertiary,0,-871,no,0,unknown,20,5,10,-1,0,unknown,0
141,33,housemaid,married,tertiary,0,10,yes,0,cellular,20,4,1,322,2,failure,0
142,34,technician,married,secondary,0,210,yes,1,cellular,12,5,2,173,1,failure,0
143,34,blue-collar,single,tertiary,0,1011,yes,0,unknown,6,5,1,-1,0,unknown,0
144,34,technician,single,secondary,0,-89,yes,0,unknown,12,5,1,-1,0,unknown,0
145,40,blue-collar,married,secondary,0,1808,yes,0,cellular,12,5,1,-1,0,unknown,1
146,49,services,single,secondary,0,5028,yes,0,unknown,12,5,1,-1,0,unknown,0
147,51,services,married,unknown,0,6451,no,0,telephone,19,11,2,-1,0,unknown,0
148,31,technician,married,secondary,0,40,yes,0,cellular,20,11,2,-1,0,unknown,0
149,37,housemaid,married,primary,0,0,no,1,telephone,15,7,4,-1,0,unknown,0
150,47,admin.,divorced,secondary,0,980,yes,0,cellular,14,5,1,-1,0,unknown,0
151,42,management,married,tertiary,0,263,yes,0,unknown,7,5,1,-1,0,unknown,0
152,46,management,married,unknown,0,638,yes,0,cellular,28,1,1,-1,0,unknown,0
153,43,management,married,tertiary,0,228,yes,0,cellular,26,5,1,113,1,failure,0
154,46,blue-collar,married,primary,0,2093,no,0,unknown,5,6,2,-1,0,unknown,0
155,31,services,single,secondary,0,24,no,0,cellular,18,7,2,-1,0,unknown,0
156,30,technician,married,tertiary,0,0,no,0,cellular,21,7,1,-1,0,unknown,0
157,31,blue-collar,single,primary,0,985,yes,0,unknown,12,5,2,-1,0,unknown,0
158,75,retired,married,primary,0,5491,no,0,telephone,28,7,6,-1,0,unknown,0
159,54,blue-collar,divorced,primary,0,215,yes,0,cellular,18,5,7,348,5,failure,0
160,33,admin.,married,secondary,0,30,yes,0,telephone,5,5,2,-1,0,unknown,0
161,57,blue-collar,married,primary,0,1610,no,0,telephone,16,3,1,-1,0,unknown,0
162,35,blue-collar,single,primary,0,-759,yes,0,cellular,31,7,2,-1,0,unknown,0
163,54,blue-collar,married,unknown,0,1827,no,0,cellular,20,4,1,350,1,failure,0
164,32,technician,married,secondary,0,599,no,0,cellular,19,11,1,-1,0,unknown,0
165,31,management,married,tertiary,0,5889,yes,0,unknown,23,5,1,-1,0,unknown,0
166,32,management,single,tertiary,0,813,no,0,cellular,28,8,7,-1,0,unknown,0
167,44,management,married,tertiary,0,4119,yes,1,telephone,21,11,1,-1,0,unknown,1
168,46,services,married,primary,0,830,yes,1,cellular,11,7,2,-1,0,unknown,0
169,36,management,married,tertiary,0,1125,yes,1,unknown,16,5,5,-1,0,unknown,0
170,45,blue-collar,married,primary,0,6753,no,0,cellular,11,8,9,-1,0,unknown,0
171,24,blue-collar,married,primary,0,933,yes,0,unknown,28,5,3,-1,0,unknown,0
172,38,blue-collar,married,secondary,0,360,yes,0,unknown,14,5,2,-1,0,unknown,0
173,42,management,married,tertiary,0,0,no,0,cellular,13,8,2,-1,0,unknown,0
174,38,management,married,tertiary,0,0,yes,0,cellular,30,4,1,-1,0,unknown,1
175,56,blue-collar,married,primary,0,0,yes,0,cellular,17,7,1,-1,0,unknown,0
176,65,retired,divorced,secondary,0,744,no,0,cellular,5,7,1,-1,0,unknown,0
177,30,blue-collar,single,primary,0,296,no,0,telephone,5,2,7,-1,0,unknown,0
178,45,management,married,tertiary,0,1300,no,0,cellular,30,7,3,-1,0,unknown,0
179,28,management,single,tertiary,0,1466,yes,0,cellular,25,7,1,-1,0,unknown,0
180,33,blue-collar,single,secondary,0,2668,yes,0,cellular,18,7,1,-1,0,unknown,0
181,49,management,married,secondary,0,338,no,0,cellular,25,8,3,-1,0,unknown,0
182,40,admin.,married,secondary,0,0,yes,1,cellular,9,7,1,-1,0,unknown,0
183,34,admin.,married,secondary,0,79,yes,0,unknown,23,5,1,-1,0,unknown,0
184,45,admin.,married,secondary,0,137,yes,0,unknown,14,5,1,-1,0,unknown,0
185,33,management,single,tertiary,0,-625,yes,0,unknown,15,5,1,-1,0,unknown,0
186,37,unemployed,married,secondary,0,1038,no,0,unknown,20,6,3,-1,0,unknown,0
187,38,blue-collar,married,primary,0,1495,yes,0,unknown,2,6,3,-1,0,unknown,0
188,38,technician,single,tertiary,0,1619,no,0,unknown,9,6,1,-1,0,unknown,0
189,49,blue-collar,single,secondary,0,8982,yes,0,cellular,13,4,2,334,1,failure,0
190,46,blue-collar,married,secondary,0,1272,no,0,cellular,25,8,4,-1,0,unknown,0
191,33,services,divorced,secondary,0,-395,yes,0,unknown,27,5,2,-1,0,unknown,0
192,38,housemaid,divorced,primary,0,359,no,0,unknown,9,6,4,-1,0,unknown,0
193,25,management,single,tertiary,0,145,no,0,cellular,7,8,1,-1,0,unknown,0
194,54,retired,divorced,tertiary,0,349,yes,0,cellular,18,11,1,-1,0,unknown,0
195,33,technician,married,tertiary,0,17455,yes,1,cellular,18,11,3,179,4,failure,0
196,54,self-employed,married,primary,0,2132,no,1,cellular,20,11,1,-1,0,unknown,0
197,53,unemployed,married,secondary,0,94,no,0,cellular,10,8,1,181,14,success,1
198,23,student,single,secondary,0,1029,yes,0,cellular,18,5,1,-1,0,unknown,0
199,31,unemployed,married,secondary,0,57,yes,1,unknown,23,5,5,-1,0,unknown,0
200,42,blue-collar,married,primary,0,574,yes,0,cellular,6,4,2,327,2,failure,0
201,39,services,married,secondary,0,207,no,0,unknown,6,6,2,-1,0,unknown,0
202,41,management,married,tertiary,0,20,yes,0,cellular,17,11,1,151,2,failure,0
203,45,blue-collar,married,unknown,0,110,yes,0,unknown,15,5,4,-1,0,unknown,0
204,40,blue-collar,married,secondary,0,339,yes,0,unknown,14,5,2,-1,0,unknown,0
205,45,management,single,tertiary,0,0,no,0,cellular,27,5,1,-1,0,unknown,0
206,35,blue-collar,single,primary,0,49,yes,0,unknown,21,5,2,-1,0,unknown,0
207,49,management,single,secondary,0,0,no,0,cellular,29,8,2,-1,0,unknown,0
208,25,technician,single,secondary,0,2157,yes,0,cellular,21,7,1,-1,0,unknown,0
209,44,services,married,secondary,0,646,yes,0,unknown,3,6,4,-1,0,unknown,0
210,36,admin.,single,tertiary,0,994,no,0,cellular,6,5,1,90,6,success,1
211,35,blue-collar,married,secondary,0,535,yes,0,unknown,30,5,3,-1,0,unknown,0
212,30,management,single,secondary,0,308,yes,1,unknown,2,6,2,-1,0,unknown,0
213,50,blue-collar,married,primary,0,2212,yes,0,unknown,15,5,1,-1,0,unknown,0
214,59,blue-collar,married,primary,0,699,no,0,cellular,27,8,6,-1,0,unknown,0
215,33,blue-collar,married,secondary,0,370,yes,0,cellular,8,4,1,-1,0,unknown,0
216,30,entrepreneur,married,primary,0,501,yes,1,cellular,6,5,2,-1,0,unknown,0
217,36,management,married,tertiary,0,0,yes,0,telephone,23,10,1,143,3,failure,1
218,31,technician,single,secondary,0,35,no,1,cellular,16,7,1,-1,0,unknown,0
219,66,housemaid,married,primary,0,1230,no,0,cellular,17,12,3,-1,0,unknown,1
220,34,management,divorced,secondary,0,291,no,0,cellular,7,8,2,-1,0,unknown,0
221,31,self-employed,single,tertiary,0,917,no,1,cellular,17,11,3,-1,0,unknown,0
222,35,blue-collar,single,primary,0,-269,yes,0,unknown,9,6,10,-1,0,unknown,0
223,45,management,married,tertiary,0,-319,yes,0,unknown,23,5,1,-1,0,unknown,0
224,52,services,divorced,secondary,0,1635,yes,0,unknown,13,5,1,-1,0,unknown,0
225,34,blue-collar,married,secondary,0,496,yes,0,cellular,13,5,1,-1,0,unknown,1
226,26,technician,married,secondary,0,351,yes,0,unknown,2,6,3,-1,0,unknown,0
227,36,technician,married,tertiary,0,183,yes,0,unknown,16,5,1,-1,0,unknown,0
228,30,technician,single,secondary,0,175,no,0,cellular,25,8,4,-1,0,unknown,0
229,40,technician,married,secondary,0,4,yes,1,cellular,4,8,3,-1,0,unknown,0
230,47,admin.,married,secondary,0,6695,no,0,telephone,21,11,3,-1,0,unknown,0
231,27,technician,single,secondary,0,3267,no,1,cellular,31,7,13,-1,0,unknown,0
232,37,blue-collar,single,secondary,0,5024,no,1,cellular,25,7,4,-1,0,unknown,1
233,37,management,married,tertiary,0,332,yes,0,cellular,14,8,2,84,7,failure,0
234,70,management,married,tertiary,0,5563,no,0,cellular,6,2,1,-1,0,unknown,0
235,60,housemaid,married,primary,0,2008,no,0,cellular,7,8,2,-1,0,unknown,0
236,34,self-employed,married,tertiary,0,2427,no,0,telephone,11,8,3,70,3,failure,0
237,31,technician,married,secondary,0,504,yes,1,cellular,7,5,2,-1,0,unknown,0
238,56,technician,married,secondary,0,76,yes,0,cellular,28,7,3,-1,0,unknown,0
239,47,unemployed,married,secondary,0,123,no,0,cellular,4,8,2,-1,0,unknown,0
240,59,retired,married,tertiary,0,3843,no,0,cellular,11,8,4,-1,0,unknown,0
241,44,admin.,divorced,secondary,0,449,yes,1,unknown,28,5,4,-1,0,unknown,0
242,53,entrepreneur,married,unknown,0,2496,no,1,cellular,18,11,1,-1,0,unknown,0
243,42,blue-collar,married,primary,0,560,yes,1,cellular,18,11,2,-1,0,unknown,0
244,25,blue-collar,single,primary,0,6,yes,1,unknown,27,5,2,-1,0,unknown,0
245,37,services,divorced,secondary,0,319,yes,0,unknown,6,6,3,-1,0,unknown,1
246,29,blue-collar,single,secondary,0,-125,yes,0,unknown,29,5,3,-1,0,unknown,0
247,32,management,single,tertiary,0,124,no,0,cellular,4,2,2,-1,0,unknown,0
248,59,technician,married,unknown,0,0,no,0,cellular,5,2,1,-1,0,unknown,0
249,31,technician,single,secondary,0,1282,no,0,cellular,12,5,1,460,2,failure,0
250,32,management,single,tertiary,0,11315,no,0,unknown,23,5,1,-1,0,unknown,0
251,42,admin.,single,tertiary,0,634,no,0,cellular,31,7,2,-1,0,unknown,0
252,50,management,married,tertiary,0,511,yes,0,cellular,5,8,1,-1,0,unknown,0
253,83,retired,divorced,primary,0,4565,no,0,cellular,13,9,2,-1,0,unknown,0
254,43,services,married,secondary,0,774,no,0,cellular,24,6,1,91,2,success,1
255,48,blue-collar,married,secondary,0,4259,no,0,cellular,31,7,7,-1,0,unknown,0
256,43,technician,divorced,secondary,0,177,yes,0,unknown,8,5,3,-1,0,unknown,0
257,58,blue-collar,married,primary,0,226,yes,1,cellular,10,5,3,-1,0,unknown,0
258,34,unemployed,married,secondary,0,978,no,0,cellular,24,3,1,-1,0,unknown,1
259,36,self-employed,single,tertiary,0,353,no,0,cellular,11,8,2,181,2,success,1
260,26,student,single,secondary,0,1209,yes,0,cellular,7,5,4,-1,0,unknown,0
261,53,blue-collar,married,primary,0,880,no,0,cellular,31,7,4,-1,0,unknown,0
262,36,blue-collar,married,primary,0,871,yes,1,telephone,18,11,1,-1,0,unknown,0
263,32,blue-collar,married,secondary,0,14,yes,0,unknown,2,6,1,-1,0,unknown,0
264,39,blue-collar,married,primary,0,1004,yes,0,cellular,13,5,2,-1,0,unknown,0
265,39,technician,married,secondary,0,13165,yes,1,cellular,22,8,4,-1,0,unknown,0
266,56,blue-collar,married,primary,0,0,no,0,cellular,7,8,6,-1,0,unknown,0
267,31,technician,single,secondary,0,9,no,0,cellular,7,7,2,-1,0,unknown,0
268,54,blue-collar,married,secondary,0,1063,no,1,cellular,8,7,3,-1,0,unknown,0
269,43,blue-collar,married,primary,0,0,yes,0,unknown,3,6,3,-1,0,unknown,0
270,47,blue-collar,married,secondary,0,-346,yes,1,telephone,3,2,2,253,2,other,0
271,34,technician,married,secondary,0,22,no,0,cellular,21,8,3,-1,0,unknown,0
272,46,housemaid,married,primary,0,39,no,0,unknown,9,6,2,-1,0,unknown,0
273,30,admin.,single,secondary,0,2568,no,0,cellular,4,9,1,100,4,other,1
274,29,management,single,tertiary,0,2531,no,0,cellular,19,8,1,-1,0,unknown,1
275,58,unknown,married,primary,0,15,no,0,cellular,11,8,2,-1,0,unknown,0
276,58,technician,married,secondary,0,0,yes,0,cellular,15,7,1,-1,0,unknown,0
277,56,admin.,divorced,unknown,0,789,yes,0,cellular,8,5,1,360,2,failure,0
278,34,management,single,secondary,0,356,yes,0,cellular,30,7,7,-1,0,unknown,0
279,29,student,single,secondary,0,1854,no,0,telephone,4,5,3,-1,0,unknown,0
280,32,services,married,secondary,0,198,no,0,cellular,30,1,2,-1,0,unknown,0
281,37,blue-collar,single,secondary,0,3764,no,0,unknown,16,6,1,-1,0,unknown,0
282,53,self-employed,married,primary,0,2639,no,0,cellular,11,8,4,-1,0,unknown,0
283,36,technician,single,secondary,0,-333,yes,1,unknown,9,5,1,-1,0,unknown,0
284,28,technician,single,tertiary,0,968,no,1,cellular,22,7,2,-1,0,unknown,0
285,59,blue-collar,married,primary,0,63,no,0,cellular,22,8,6,-1,0,unknown,0
286,42,services,married,secondary,0,-43,yes,1,unknown,27,5,3,-1,0,unknown,0
287,34,management,married,tertiary,0,2287,yes,0,unknown,26,5,4,-1,0,unknown,1
288,29,technician,single,secondary,0,500,yes,0,cellular,14,5,3,-1,0,unknown,0
289,45,housemaid,married,secondary,0,513,no,0,unknown,9,6,3,-1,0,unknown,0
290,33,technician,single,secondary,0,487,yes,0,cellular,26,8,14,-1,0,unknown,0
291,42,unknown,single,unknown,1,61,no,0,unknown,20,6,1,-1,0,unknown,0
292,47,blue-collar,married,secondary,0,690,yes,0,cellular,9,7,1,-1,0,unknown,0
293,41,blue-collar,married,primary,0,191,yes,0,unknown,8,5,1,-1,0,unknown,0
294,43,blue-collar,married,primary,0,8,no,1,cellular,21,7,2,-1,0,unknown,0
295,33,management,married,tertiary,0,71,no,0,cellular,16,11,1,287,1,failure,0
296,31,admin.,divorced,tertiary,0,-2,yes,0,cellular,19,11,1,-1,0,unknown,0
297,29,management,married,tertiary,1,53,yes,0,cellular,31,7,17,-1,0,unknown,0
298,39,entrepreneur,married,secondary,0,283,yes,0,unknown,26,5,2,-1,0,unknown,0
299,53,unemployed,married,primary,0,142,no,0,cellular,30,4,2,-1,0,unknown,0
300,34,services,single,tertiary,0,371,no,0,unknown,20,5,1,-1,0,unknown,0
301,43,management,married,tertiary,0,5926,no,0,cellular,6,8,2,-1,0,unknown,0
302,44,self-employed,divorced,secondary,0,80,yes,1,unknown,14,5,2,-1,0,unknown,0
303,46,services,married,secondary,0,2420,no,0,cellular,19,11,2,-1,0,unknown,0
304,44,blue-collar,single,primary,0,10984,no,0,unknown,20,6,18,-1,0,unknown,0
305,60,technician,single,secondary,0,12,no,0,cellular,24,7,1,-1,0,unknown,0
306,31,services,married,secondary,0,655,no,1,cellular,9,2,6,-1,0,unknown,0
307,57,management,divorced,tertiary,0,52,yes,0,cellular,8,5,3,359,8,other,0
308,26,self-employed,single,tertiary,0,458,yes,1,cellular,2,2,7,-1,0,unknown,0
309,45,blue-collar,married,primary,0,2433,no,0,cellular,6,8,2,-1,0,unknown,0
310,39,management,single,tertiary,0,406,yes,0,unknown,7,5,1,-1,0,unknown,0
311,36,blue-collar,divorced,primary,0,102,no,0,cellular,3,2,2,-1,0,unknown,0
312,23,student,single,secondary,0,9216,no,0,cellular,5,6,2,-1,0,unknown,0
313,46,technician,married,secondary,0,0,no,0,telephone,20,4,2,-1,0,unknown,0
314,56,services,married,secondary,0,144,no,0,cellular,6,8,2,-1,0,unknown,0
315,55,retired,married,secondary,0,991,no,0,cellular,11,7,2,-1,0,unknown,0
316,31,management,single,tertiary,0,363,no,0,cellular,13,8,2,-1,0,unknown,0
317,33,blue-collar,married,secondary,0,1240,yes,0,unknown,5,6,2,-1,0,unknown,0
